name,api
HouseAds2,"['Object', 'Preferences', 'parse', 'read', 'Boolean', 'Empty', 'Float', 'remove', 'Activity', 'from', 'Negative', 'Positive', 'String', 'edit', 'Flags', 'Listener', 'is', '<init>', 'Package', 'd', 'commit', 'finish', 'apply', 'post', 'Selected', 'System', 'Simple', 'open', 'length', 'set', 'On', 'Connected', 'as', 'for', 'size', 'Type', 'Long', 'Shared', 'to', 'Stream', 'Class', 'Button', 'View', 'on', 'Int', 'Neutral', 'Active', 'Action', 'List', 'Extra', 'add', 'By', 'clear', 'make', 'Pre', 'Id', 'append', 'Info', 'get', 'Service', 'Text', 'inflate', 'JSON', 'contains', 'Click', 'Title', 'find', 'start', 'Network', 'Callbacks', 'Color', 'Name', 'Execute', 'Post', 'put', 'show', 'Delayed']"
MyHouseAdsAndroid,"['Object', 'Active', 'parse', 'Title', 'find', 'read', 'Drawable', 'start', 'Network', 'System', 'Simple', 'open', 'add', 'By', 'make', 'Pre', 'length', 'Empty', 'set', 'Activity', 'from', 'Negative', 'Id', 'Connected', 'append', 'Positive', 'String', 'Info', 'next', 'for', 'get', 'Name', 'Execute', 'Service', 'is', '<init>', 'Resources', 'Text', 'Post', 'to', 'Stream', 'Class', 'inflate', 'JSON', 'Button', 'd', 'finish', 'show', 'Image', 'View', 'on', 'Int']"
Smart Ad For Android,"['w', 'post', 'e', 'Visibility', 'Styled', 'System', 'obtain', 'Metrics', 'add', 'Boolean', 'Create', 'set', 'On', 'Back', 'append', 'String', 'next', 'Enabled', 'size', 'Pressed', 'Changed', 'Attributes', 'get', 'Listener', 'Service', '<init>', 'Resources', 'Text', 'Size', 'to', 'Delayed', 'dismiss', 'Class', 'inflate', 'show', 'Display', 'View', 'on', 'Click', 'Int']"
TedAdHelper,"['parse', 'Preferences', 'Context', 'Code', 'Boolean', 'Destroyed', 'Empty', 'remove', 'Activity', 'Manager', 'String', 'Transition', 'edit', 'Flags', 'Listener', 'is', '<init>', 'Resources', 'Package', 'd', 'commit', 'Trace', 'print', 'Count', 'Application', 'post', 'Tag', 'Value', 'Visibility', 'Child', 'System', 'hash', 'value', 'Array', 'set', 'Stack', 'On', 'All', 'as', 'int', 'Pending', 'size', 'Finishing', 'Shared', 'to', 'Display', 'View', 'on', 'Integer', 'Int', 'Destroy', 'List', 'Drawable', 'override', 'Of', 'Extra', 'By', 'Width', 'add', 'Id', 'append', 'At', 'Info', 'Attributes', 'Background', 'get', 'Text', 'Message', 'inflate', 'boolean', 'Click', 'find', 'e', 'start', 'Metrics', 'Create', 'Default', 'put', 'Views', 'Image']"
Admobadapter,"['Next', 'Application', 'Context', 'post', 'i', 'max', 'register', 'Visibility', 'Drawable', 'Set', 'System', 'value', 'Of', 'add', 'Observer', 'clear', 'Looper', 'Main', 'Empty', 'set', 'remove', 'And', 'iterator', 'append', 'String', 'next', 'size', 'min', 'Type', 'get', 'Name', 'Service', 'is', '<init>', 'Text', 'Resources', 'to', 'has', 'inflate', 'Item', 'd', 'Canonical', 'put', 'Count', 'Image', 'Data', 'View']"
Amazon Product Advertising API Request Builder,"['entry', 'Next', 'do', 'Time', 'Value', 'replace', 'Set', 'hash', 'value', 'Of', 'add', 'Code', 'Instance', 'format', 'Empty', 'set', 'iterator', 'append', 'String', 'next', 'copy', 'size', 'min', 'Bytes', 'get', 'equals', 'is', '<init>', 'init', 'to', 'has', 'Class', 'fill', 'Zone', 'put', 'Key', 'Final', 'encode']"
Easy Ads,"['get', 'Finishing', 'make', 'show', 'post', 'is', '<init>', 'Text', 'Message', 'Delayed']"
AdBlockerDetector,"['Process', 'parse', 'Read', 'Address', 'Value', 'read', 'start', 'Parts', 'close', 'Of', 'value', 'Path', 'By', 'length', 'my', 'set', 'Stack', 'Manager', 'Activity', 'Chooser', 'from', 'Line', 'char', 'append', 'At', 'String', 'Info', 'create', 'get', 'Name', 'Absolute', 'is', '<init>', 'to', 'Package', 'can', 'Link', 'Local', 'exit', 'Loopback', 'Pid', 'Host', 'Trace', 'print', 'kill', 'contains', 'boolean', 'Data', 'Any', 'encode', 'trim']"
WinAnalytics,"['entry', 'Next', 'Accessible', 'Single', 'Methods', 'post', 'Constructor', 'Loader', 'Value', 'Declared', 'e', 'Superclass', 'Decor', 'Thread', 'Set', 'hash', 'value', 'Code', 'Of', 'add', 'Array', 'Instance', 'Annotation', 'Looper', 'Fields', 'Main', 'remove', 'set', 'Executor', 'Method', 'iterator', 'append', 'String', 'next', 'execute', 'for', 'copy', 'get', 'Name', 'Window', '<init>', 'to', 'invoke', 'has', 'Class', 'd', 'new', 'put', 'Key', 'contains', 'View', 'load']"
BloodHound,"['v', 'wtf', 'Application', 'register', 'Lifecycle', 'Callbacks', 'hash', 'Simple', 'Code', 'Of', 'Activity', 'Manager', 'append', 'String', 'Info', 'copy', 'get', 'Name', 'Language', 'equals', '<init>', 'to', 'Package', 'Class', 'Default', 'Display']"
Tracklytics,"['value', 'Of', 'get', '<init>', 'Class']"
